"","ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Gene.symbol","Gene.title","Gene.ID"
"1561951_at","1561951_at",2.16201623036317e-18,3.95430494808078e-23,-62.1230123424884,39.1730162139503,-5.43820929230769,"BC029048","SLC5A12","solute carrier family 5 member 12","159963"
"220503_at","220503_at",3.81551650233894e-17,1.39570791123509e-21,-51.2899764866247,36.9722089554228,-6.44211513846154,"AF260824","SLC13A1","solute carrier family 13 member 1","6561"
"211298_s_at","211298_s_at",4.40452557808493e-17,2.41674928838679e-21,-49.7960291874674,36.6029145814644,-5.43512261538461,"AF116645","ALB","albumin","213"
"219962_at","219962_at",1.08500030469544e-16,7.93781658670648e-21,-46.7055270834378,35.7765898052581,-5.44009176923077,"NM_021804","ACE2","angiotensin I converting enzyme 2","59272"
"217238_s_at","217238_s_at",1.50533642118926e-16,1.37662224159969e-20,-45.3393933466209,35.38209912181,-8.7070746,"","ALDOB","aldolase, fructose-bisphosphate B","229"
"207407_x_at","207407_x_at",1.51955795955741e-16,1.66755331638674e-20,-44.8729570326081,35.2429996992353,-5.80458356923077,"NM_000778","CYP4A11","cytochrome P450 family 4 subfamily A member 11","1579"
"206457_s_at","206457_s_at",1.8695444684797e-16,2.39356402000144e-20,-44.0064476715868,34.9783867506362,-6.45815164615385,"NM_000792","DIO1","deiodinase, iodothyronine type I","1733"
"221305_s_at","221305_s_at",2.36912109095515e-16,3.4664780480368e-20,-43.1355748590466,34.7040349762113,-4.98805456923077,"NM_019076","UGT1A3///UGT1A1///UGT1A9///UGT1A5///UGT1A8","UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A8","54659///54658///54600///54579///54576"
"231623_at","231623_at",6.55474610888085e-16,1.0789705529022e-19,-40.569602989799,33.8432737007254,-5.19833796923077,"AI732994","TMEM174","transmembrane protein 174","134288"
"231068_at","231068_at",7.82367836807977e-16,1.43094254560215e-19,-39.9551576435161,33.624778725314,-5.95416653846154,"BF432333","SLC47A2","solute carrier family 47 member 2","146802"
"204705_x_at","204705_x_at",1.02585671661611e-15,2.06390926068169e-19,-39.1715686495906,33.338744506551,-7.91103312307692,"NM_000035","ALDOB","aldolase, fructose-bisphosphate B","229"
"220502_s_at","220502_s_at",1.76368548645573e-15,3.87091464791382e-19,-37.8610095985893,32.8409848908791,-6.43025186153846,"NM_022444","SLC13A1","solute carrier family 13 member 1","6561"
