"","ID","adj.P.Val","P.Value","t","B","logFC","GenBank.Accession","Gene.symbol","Gene.title","Gene.ID"
"213764_s_at","213764_s_at",9.03595956195801e-14,4.29693550271437e-17,29.3128980748395,28.8744937105341,8.30729035384615,"AW665892","MFAP5","microfibrillar associated protein 5","8076"
"224997_x_at","224997_x_at",8.15664301484083e-13,5.07226085970897e-16,25.6080344650737,26.6536410441152,5.23094129230769,"AL575306","MIR675///H19","microRNA 675///H19, imprinted maternally expressed transcript (non-protein coding)","100033819///283120"
"209496_at","209496_at",1.98985985306234e-12,1.56495608014048e-15,24.0690500597585,25.6137352101304,2.70074229230769,"BC000069","RARRES2","retinoic acid receptor responder 2","5919"
"209758_s_at","209758_s_at",3.61984258822979e-12,3.31032701255582e-15,23.0943350066341,24.914151177008,7.69091315384616,"U37283","MFAP5","microfibrillar associated protein 5","8076"
"213765_at","213765_at",4.06681614533485e-12,3.79346361979108e-15,22.9211165036611,24.7862842229262,7.56356563076923,"AW665892","MFAP5","microfibrillar associated protein 5","8076"
"239468_at","239468_at",5.74665974586543e-12,5.99103073643036e-15,22.3488858611238,24.3559472681504,5.29530856923077,"AW023227","MKX","mohawk homeobox","283078"
"202431_s_at","202431_s_at",1.78170699270018e-11,2.67215314863127e-14,20.5679926878925,22.9336059104258,3.0740428923077,"NM_002467","MYC","v-myc avian myelocytomatosis viral oncogene homolog","4609"
"222877_at","222877_at",2.15188748238036e-11,3.47624153903987e-14,20.2685581728344,22.6812372980292,4.29336736923077,"AK024680","NRP2","neuropilin 2","8828"
"205226_at","205226_at",2.18489016759002e-11,3.63648843622664e-14,20.2176644614306,22.6379430962458,6.12101993846154,"NM_006207","PDGFRL","platelet derived growth factor receptor like","5157"
"219778_at","219778_at",2.27204974733679e-11,3.82311068596223e-14,20.1612851983765,22.5898452394067,4.34290930769231,"NM_012082","ZFPM2","zinc finger protein, FOG family member 2","23414"
"209101_at","209101_at",2.7042269276885e-11,4.74816250677817e-14,19.9188269072544,22.3813415077166,3.31106072307692,"M92934","CTGF","connective tissue growth factor","1490"
"205907_s_at","205907_s_at",2.74749102351904e-11,4.87437822188106e-14,19.88965449902,22.3560713664416,6.06343758461539,"","OMD","osteomodulin","4958"
"201431_s_at","201431_s_at",2.84326779171432e-11,5.09630075149526e-14,19.840236247258,22.3131730387253,3.24043893846154,"NM_001387","DPYSL3","dihydropyrimidinase like 3","1809"
"235371_at","235371_at",5.23412729632193e-11,1.02432852438307e-13,19.079859683814,21.6384231941828,4.0280448923077,"AI452595","GXYLT2","glucoside xylosyltransferase 2","727936"
"212067_s_at","212067_s_at",6.19548365267019e-11,1.23513071447837e-13,18.8805803399153,21.4568915912206,3.24248215384615,"AL573058","C1R","complement C1r subcomponent","715"
"212646_at","212646_at",6.38520003182621e-11,1.28993176514964e-13,18.834621887985,21.4147416956108,2.12999783076923,"D42043","RFTN1","raftlin, lipid raft linker 1","23180"
"201540_at","201540_at",6.38520003182621e-11,1.29691489969469e-13,18.8289133802407,21.4094987516546,1.80636455384616,"NM_001449","FHL1","four and a half LIM domains 1","2273"
"224560_at","224560_at",6.54453106362146e-11,1.36745824372454e-13,18.772994218329,21.35805226688,2.8003154923077,"BF107565","TIMP2","TIMP metallopeptidase inhibitor 2","7077"
"202709_at","202709_at",1.3604304017716e-10,3.30932315382941e-13,17.8617394196659,20.4965707134466,3.55093561538462,"NM_002023","FMOD","fibromodulin","2331"
"226237_at","226237_at",1.36571647485839e-10,3.3471606333978e-13,17.8502808532392,20.4854527856385,2.8631208,"AL359062","COL8A1","collagen type VIII alpha 1 chain","1295"
"212423_at","212423_at",2.03907573743255e-10,5.40769971518464e-13,17.372719869058,20.0155253954104,2.74175589230769,"AK024784","ZCCHC24","zinc finger CCHC-type containing 24","219654"
"221900_at","221900_at",2.13373638331025e-10,5.7367946656901e-13,17.3147022236429,19.9575475732474,3.277813,"AI806793","COL8A2","collagen type VIII alpha 2 chain","1296"
"228186_s_at","228186_s_at",2.13571219361706e-10,5.78116880942523e-13,17.3071478330209,19.949983988578,4.48448292307692,"BF589322","RSPO3","R-spondin 3","84870"
"210299_s_at","210299_s_at",2.43261308402752e-10,6.67579212701028e-13,17.1666192633935,19.80867656658,3.02343021538462,"AF063002","FHL1","four and a half LIM domains 1","2273"
"213249_at","213249_at",2.45376350742082e-10,6.8216196273976e-13,17.1456015139959,19.7874426530005,2.76503183076923,"AU145127","FBXL7","F-box and leucine rich repeat protein 7","23194"
"203065_s_at","203065_s_at",2.95939181528727e-10,8.55206048130568e-13,16.9270750271114,19.5651141921734,3.10902952307693,"NM_001753","CAV1","caveolin 1","857"
"227198_at","227198_at",4.27778953359915e-10,1.27531722720926e-12,16.5468193976391,19.1713527442133,2.82084227692308,"","AFF3","AF4/FMR2 family member 3","3899"
"203813_s_at","203813_s_at",4.29254709689467e-10,1.28756785348098e-12,16.5378151410343,19.1619206329225,2.64722061538462,"NM_003062","SLIT3","slit guidance ligand 3","6586"
"205908_s_at","205908_s_at",4.37166630837864e-10,1.32729146262616e-12,16.5092250613384,19.1319384821224,5.48517490769231,"NM_005014","OMD","osteomodulin","4958"
"225664_at","225664_at",4.57834707801136e-10,1.42353727162676e-12,16.4435217422724,19.0628419741133,3.77956312307692,"AA788946","COL12A1","collagen type XII alpha 1 chain","1303"
"206580_s_at","206580_s_at",5.93080410937836e-10,1.90913858847845e-12,16.170535089175,18.7728281866105,1.72513583076923,"NM_016938","EFEMP2","EGF containing fibulin like extracellular matrix protein 2","30008"
"204114_at","204114_at",6.45103254770895e-10,2.08840011146682e-12,16.0878584750735,18.6840509766115,3.07840783076923,"NM_007361","NID2","nidogen 2","22795"
"207016_s_at","207016_s_at",6.8753460144064e-10,2.23833852869564e-12,16.0242373035718,18.6154326385944,2.95125541538462,"AB015228","LOC101928635///ALDH1A2","uncharacterized LOC101928635///aldehyde dehydrogenase 1 family member A2","101928635///8854"
"203851_at","203851_at",7.25722054011381e-10,2.40248178831385e-12,15.9595275161013,18.5453683738232,4.24295713846154,"NM_002178","IGFBP6","insulin like growth factor binding protein 6","3489"
"214247_s_at","214247_s_at",7.45366306858098e-10,2.49477885971709e-12,15.9251500280847,18.5080342238815,2.87215116923077,"AU148057","DKK3","dickkopf WNT signaling pathway inhibitor 3","27122"
"1554127_s_at","1554127_s_at",7.47456081822961e-10,2.51544433571879e-12,15.9176358355837,18.4998633773495,3.03248072307692,"BC040053","MSRB3","methionine sulfoxide reductase B3","253827"
"224646_x_at","224646_x_at",9.33299243141855e-10,3.22621960592246e-12,15.6923953100753,18.2531943738953,4.34618683076924,"BF569051","MIR675///H19","microRNA 675///H19, imprinted maternally expressed transcript (non-protein coding)","100033819///283120"
"227058_at","227058_at",9.70141106167496e-10,3.37131797296432e-12,15.652867030477,18.2095541676626,3.59676935384616,"AW084730","MEDAG","mesenteric estrogen dependent adipogenesis","84935"
"239272_at","239272_at",1.33913900236619e-09,4.77607874643635e-12,15.3429235056241,17.8636656281608,3.10590513846154,"AI927208","MMP28","matrix metallopeptidase 28","79148"
"204159_at","204159_at",1.44720389008861e-09,5.31787476170174e-12,15.2483810533575,17.7568328486765,2.24292696923077,"NM_001262","CDKN2C","cyclin dependent kinase inhibitor 2C","1031"
"223380_s_at","223380_s_at",1.44720389008861e-09,5.32031059730792e-12,15.2479792104733,17.7563774269864,2.29857236923077,"AF207547","LATS2","large tumor suppressor kinase 2","26524"
"37892_at","37892_at",1.56374783856029e-09,5.89112928594905e-12,15.1587739315423,17.6549957525092,4.79516215384615,"J04177","COL11A1","collagen type XI alpha 1 chain","1301"
"202536_at","202536_at",1.65891635981241e-09,6.37169520915602e-12,15.0904411089753,17.5769533303633,1.77637436923077,"","CHMP2B","charged multivesicular body protein 2B","25978"
"212097_at","212097_at",1.84142830753185e-09,7.10638084845397e-12,14.9957868658426,17.4682971267514,2.43489556923077,"AU147399","CAV1","caveolin 1","857"
"209541_at","209541_at",1.99032346538077e-09,7.75379786238875e-12,14.9205259343207,17.3814417271783,4.72177778461538,"","IGF1","insulin like growth factor 1","3479"
"204975_at","204975_at",2.25860867008758e-09,9.16606284411894e-12,14.7769949189378,17.2146544131533,1.68460427692308,"NM_001424","EMP2","epithelial membrane protein 2","2013"
"209505_at","209505_at",2.25860867008758e-09,9.17075673999894e-12,14.7765575677141,17.2141438872542,2.55166936923077,"","NR2F1","nuclear receptor subfamily 2 group F member 1","7025"
"226751_at","226751_at",2.62919852200844e-09,1.10137736932523e-11,14.6208229082203,17.0314514675673,2.08512653846154,"AW193693","CNRIP1","cannabinoid receptor interacting protein 1","25927"
"226743_at","226743_at",2.64117742090503e-09,1.11588840279664e-11,14.6097450258676,17.0183871457265,2.78434498461539,"","SLFN11","schlafen family member 11","91607"
"202994_s_at","202994_s_at",2.84335072684566e-09,1.22730822411628e-11,14.5294111585947,16.9233723324176,4.212198,"","FBLN1","fibulin 1","2192"
"227561_at","227561_at",2.86220132216342e-09,1.24067985981295e-11,14.5202882341834,16.9125514486442,2.65706996923077,"","DDR2","discoidin domain receptor tyrosine kinase 2","4921"
"227705_at","227705_at",2.89025287420268e-09,1.25812562242385e-11,14.5085395559648,16.8986068349058,3.11290447692308,"BF591534","TCEAL7","transcription elongation factor A like 7","56849"
"202499_s_at","202499_s_at",2.89207264641349e-09,1.26420733880718e-11,14.5044840117957,16.893790847238,5.20032903076923,"NM_006931","SLC2A3","solute carrier family 2 member 3","6515"
"212419_at","212419_at",3.09432047491577e-09,1.38657250362024e-11,14.4269693527293,16.8015016661618,2.0773948,"AA131324","ZCCHC24","zinc finger CCHC-type containing 24","219654"
"222088_s_at","222088_s_at",3.1473763266752e-09,1.43337303217581e-11,14.399203861217,16.7683326524617,4.41887501538462,"","SLC2A14///SLC2A3","solute carrier family 2 member 14///solute carrier family 2 member 3","144195///6515"
"226084_at","226084_at",3.20033710001667e-09,1.46919910764368e-11,14.3785843367139,16.743662146766,3.24438956923077,"AA554833","MAP1B","microtubule associated protein 1B","4131"
"209356_x_at","209356_x_at",3.47234512122424e-09,1.64575923649963e-11,14.2841174179281,16.6302181961655,2.23806713846154,"AB030655","EFEMP2","EGF containing fibulin like extracellular matrix protein 2","30008"
"229497_at","229497_at",3.47234512122424e-09,1.65378002409958e-11,14.280082065179,16.6253568667167,3.26226704615384,"AI760630","ANKDD1A","ankyrin repeat and death domain containing 1A","348094"
"61734_at","61734_at",4.38864845524917e-09,2.17047623304744e-11,14.0559319330759,16.353332542128,2.42264163076923,"","RCN3","reticulocalbin 3","57333"
"218418_s_at","218418_s_at",4.57724050166908e-09,2.30222430353726e-11,14.0077391437822,16.2943303483018,1.65550287692308,"NM_015493","KANK2","KN motif and ankyrin repeat domains 2","25959"
