,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KAZN,0,1.124354712,0.956,0.911,0
CLCNKA,0,-0.57986996,0.051,0.286,0
CLCNKB,0,-0.627319976,0.044,0.274,0
ARHGAP29,0,1.342184438,0.873,0.689,0
LINC01762,0,-1.155824848,0.068,0.371,0
TXNIP,0,-1.323167413,0.22,0.554,0
MUC1,0,1.698651405,0.552,0.247,0
LINC00970,0,-1.073586288,0.068,0.397,0
ATP1B1,0,-1.504319701,0.574,0.879,0
CACNA1E,0,-0.402282316,0.006,0.155,0
ELF3,0,1.535060452,0.558,0.155,0
ESRRG,0,-1.016211096,0.911,0.967,0
KIF26B,0,1.771100149,0.661,0.259,0
TMEM178A,0,-1.139449941,0.068,0.335,0
SLC8A1-AS1,0,-1.82454025,0.101,0.489,0
SLC8A1,0,-2.56226751,0.547,0.832,0
SLC3A1,0,-0.702521226,0.08,0.336,0
SULT1C2,0,-0.907098852,0.224,0.607,0
TFCP2L1,0,-1.048062323,0.488,0.803,0
NCKAP5,0,-0.923987892,0.151,0.488,0
TEX41,0,-2.645657171,0.27,0.914,0
CACNB4,0,-1.716409531,0.125,0.58,0
KCNJ3,0,-0.961032607,0.283,0.623,0
COBLL1,0,-0.988089209,0.904,0.985,0
SLC38A11,0,-1.560541445,0.174,0.589,0
SCN7A,0,-1.475194793,0.096,0.481,0
LRP2,0,-1.022389215,0.095,0.425,0
AC019080.1,0,-1.222608029,0.017,0.295,0
PLCL1,0,-1.67142814,0.295,0.712,0
EFHD1,0,-0.623930576,0.082,0.343,0
NFKBIZ,0,1.687484219,0.694,0.22,0
LSAMP,0,-1.933821775,0.101,0.365,0
AC092691.1,0,-1.516930943,0.025,0.254,0
KALRN,0,1.465928523,0.541,0.188,0
MME,0,-0.794342303,0.057,0.346,0
PPM1L,0,-0.868180856,0.112,0.414,0
TNIK,0,1.588870768,0.47,0.151,0
NLGN1,0,2.741831335,0.914,0.526,0
KNG1,0,-1.179742615,0.007,0.37,0
KCNIP4,0,2.338140275,0.967,0.8,0
PPARGC1A,0,-1.605055845,0.408,0.835,0
LIMCH1,0,-0.891998408,0.689,0.904,0
GPAT3,0,-1.250877441,0.133,0.48,0
SPP1,0,1.515554221,0.456,0.116,0
BMPR1B,0,-1.299200992,0.467,0.775,0
EGF,0,-2.347448966,0.047,0.408,0
ENPEP,0,-0.513111193,0.042,0.252,0
AC098588.3,0,-0.862095366,0.088,0.399,0
LINC01098,0,-1.832545527,0.048,0.458,0
LINC01099,0,-2.52361111,0.084,0.626,0
ADAMTS16,0,-1.51769366,0.107,0.535,0
CDH9,0,-0.48806941,0.026,0.219,0
AGXT2,0,-0.554567359,0.003,0.175,0
PRLR,0,-0.899867645,0.024,0.306,0
OSMR,0,1.864377183,0.544,0.124,0
ARL15,0,-1.732811562,0.844,0.983,0
