,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RBMS3,0,2.366324361,0.957,0.508,0
CASC15,0,2.421637856,0.959,0.33,0
CUBN,0,-3.548230112,0.234,0.884,0
SLC16A9,0,-2.730417652,0.1,0.724,0
SLC5A12,0,-2.669665485,0.043,0.664,0
GRAMD1B,0,-2.394443637,0.002,0.532,0
TPM1,1.338E-291,2.215870819,0.963,0.54,3.7423E-287
PRICKLE1,4.0509E-278,2.801707892,0.85,0.201,1.133E-273
PSD3,1.1112E-276,2.661247935,0.825,0.156,3.108E-272
PTH1R,1.6705E-273,-2.724965642,0.055,0.582,4.6725E-269
PDK4,9.1703E-271,-2.197837541,0.049,0.59,2.5649E-266
TNC,9.4525E-261,3.444706913,0.726,0.048,2.6439E-256
DLGAP1,2.0895E-255,2.287656402,0.9,0.271,5.8444E-251
AC096577.1,1.3987E-251,-3.452310794,0.092,0.614,3.9122E-247
ROBO2,4.8117E-245,2.791196953,0.849,0.253,1.3458E-240
EGF,2.0114E-244,-2.593345099,0.027,0.489,5.626E-240
SLC13A3,4.1545E-243,-2.526201872,0.069,0.568,1.162E-238
ACSM2B,1.6692E-241,-2.433558328,0.329,0.815,4.6687E-237
RNF152,1.4447E-240,-2.319623531,0.145,0.662,4.0408E-236
KIF26B,5.9864E-240,2.210000976,0.876,0.283,1.6744E-235
SLC6A13,6.8644E-240,-2.048077621,0.039,0.511,1.92E-235
KCNT2,1.0801E-239,2.72425686,0.781,0.131,3.0209E-235
PDZD2,3.1516E-239,-2.326169353,0.118,0.631,8.815E-235
FKBP5,1.7153E-235,-3.045658182,0.173,0.679,4.7978E-231
EXT1,1.3195E-231,1.911556422,0.947,0.646,3.6907E-227
MME,7.6148E-230,-2.090230379,0.086,0.571,2.1299E-225
AC098588.3,1.687E-227,-2.303876229,0.118,0.615,4.7184E-223
MIOX,1.6272E-223,-2.237329492,0.023,0.449,4.5514E-219
AGXT2,2.5089E-221,-1.895138997,0.022,0.446,7.0174E-217
PCDH15,9.8625E-213,-1.785545635,0.013,0.411,2.7586E-208
COL8A1,8.5001E-210,2.53541902,0.74,0.171,2.3775E-205
ACTN1,3.5052E-202,2.03331219,0.761,0.177,9.8041E-198
SAMD4A,1.9427E-200,1.848936878,0.927,0.485,5.4339E-196
CREB5,3.98E-190,1.694201939,0.881,0.353,1.1132E-185
LINC00278,1.5748E-187,-1.744380378,0.041,0.448,4.4047E-183
LPP,4.2395E-185,1.324055275,0.981,0.869,1.1858E-180
