"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","Regulation"
"1","LOC127239154",0.498904594432121,0.0037927021793889,0.159282213493086,0.754716930708738,NA,"Not Significant"
"2","LOC124905685",0,NA,NA,NA,NA,"Not Significant"
"3","LOC101928626",0,NA,NA,NA,NA,"Not Significant"
"4","OR4F16",0,NA,NA,NA,NA,"Not Significant"
"5","LOC100288069",106.478441881681,0.038409552876848,0.135142542066965,0.614596991931372,0.817200067417629,"Not Significant"
"6","LINC01409",6.70372699216313,0.00794799269313555,0.156762208261623,0.790268552834594,NA,"Not Significant"
"7","FAM87B",0,NA,NA,NA,NA,"Not Significant"
"8","LINC00115",26.731247909025,-0.0192548416115451,0.154954279561398,0.643176829253441,NA,"Not Significant"
"9","LINC01128",594.231171869349,-0.291076427600083,0.115885128629252,0.0022089325211714,0.0219135755103415,"Down"
"10","LOC107984850",0.52660450535262,-0.00543798389211314,0.159445787485513,0.4644770540455,NA,"Not Significant"
"11","FAM41C",0.07854964382726,0.00133843037758169,0.159340864042894,0.883155367881683,NA,"Not Significant"
"12","LOC124905686",1.40461143964324,0.00373670361781825,0.15886791139057,0.774187906833562,NA,"Not Significant"
"13","LINC02593",7.90881349961664,-0.0125196688098337,0.157993449213351,0.623381432153054,NA,"Not Significant"
"14","LOC107985728",14.3524771615203,0.0115022044641357,0.154143796308964,0.781762052157894,NA,"Not Significant"
"15","SAMD11",37.0620212165344,0.0202798845734624,0.15406544109312,0.650844624972297,0.838221968647866,"Not Significant"
"16","NOC2L",5017.58758471674,0.0216499832392801,0.0668135568121154,0.721367493739176,0.874368058088432,"Not Significant"
"17","KLHL17",1133.94402387486,-0.130268181893577,0.123781006289934,0.141845020698606,0.387620320851926,"Not Significant"
"18","PLEKHN1",207.159826274023,-0.135962986889945,0.165925296424736,0.140174366175029,0.384874263604062,"Not Significant"
"19","PERM1",2.31522221135684,0.0126887196329683,0.159295786723601,0.423494253411018,NA,"Not Significant"
"20","HES4",353.450785307817,-0.0311443799903379,0.116280659537285,0.697047366165057,0.863282539963696,"Not Significant"
"21","ISG15",805.688107738084,0.0274940251829163,0.102594760131941,0.729706449947965,0.878078023506313,"Not Significant"
"22","AGRN",16348.554537748,0.0314356838145817,0.0781113888895005,0.651773064639891,0.838653362615351,"Not Significant"
"23","LOC100288175",91.8086422217976,0.0460311242917829,0.145858199290063,0.507525256764181,0.748545310857806,"Not Significant"
"24","LOC105378948",19.7363319698974,-0.00646257511721111,0.154132942711986,0.866954289674388,NA,"Not Significant"
"25","RNF223",0.425854921885145,0.00267554804896067,0.159272376815066,0.843393299347573,NA,"Not Significant"
"26","C1orf159",598.910703259519,-0.0681036759994003,0.102182199296386,0.389080629659169,0.659776993067374,"Not Significant"
"27","LOC124903820",0.07854964382726,0.00133843037758169,0.159340864042894,0.883155367881683,NA,"Not Significant"
"28","LINC01342",0,NA,NA,NA,NA,"Not Significant"
"29","LOC124903818",0,NA,NA,NA,NA,"Not Significant"
"30","MIR200B",0,NA,NA,NA,NA,"Not Significant"
"31","MIR200A",0,NA,NA,NA,NA,"Not Significant"
"32","MIR429",0,NA,NA,NA,NA,"Not Significant"
"33","TTLL10-AS1",0,NA,NA,NA,NA,"Not Significant"
"34","TTLL10",0,NA,NA,NA,NA,"Not Significant"
"35","TNFRSF18",0.133349771394833,-0.00171360250446192,0.159356026836244,0.772085198985632,NA,"Not Significant"
"36","TNFRSF4",1.26194459188243,0.000915027588062696,0.1588441507428,0.941879431318924,NA,"Not Significant"
"37","SDF4",5810.40930965483,0.096729085238951,0.0727601512158034,0.132888381651369,0.372464515590045,"Not Significant"
"38","B3GALT6",1377.18720320733,0.41050585065252,0.100971793613659,5.70755638315888e-06,0.000153789623052997,"Up"
"39","C1QTNF12",12.4041494088291,-0.0777773150498688,0.182622735482316,0.0554302511556513,NA,"Not Significant"
"40","UBE2J2",2522.86658954383,-0.0256927467541918,0.0764970207755474,0.700643922641304,0.865209186149345,"Not Significant"
"41","LINC01786",136.152690373517,-0.0538789320514252,0.136491952388323,0.491342264813626,0.73750630519293,"Not Significant"
"42","SCNN1D",254.272336589124,-0.00909233771697196,0.113446566100461,0.908314865908502,0.963167608378433,"Not Significant"
"43","ACAP3",1794.27074784024,-0.0768490008061935,0.0825133293337056,0.271798389098038,0.552811756364761,"Not Significant"
"44","MIR6726",0,NA,NA,NA,NA,"Not Significant"
"45","SNORD167",0,NA,NA,NA,NA,"Not Significant"
"46","PUSL1",505.377948930231,0.00626989746007114,0.103876398856043,0.937388001814013,0.975349800136678,"Not Significant"
