,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,Regulation
1,LOC127239154,0.928343152,-0.005236068,0.175207818,0.718857465,NA,Not Significant
2,LOC124905685,0.898347475,0.005309355,0.17531142,0.774460538,NA,Not Significant
3,LOC101928626,0,NA,NA,NA,NA,Not Significant
4,OR4F16,0,NA,NA,NA,NA,Not Significant
5,LOC100288069,106.7908666,-0.020915957,0.144412797,0.800652205,0.921668963,Not Significant
6,LINC01409,6.141743519,-0.012627058,0.171656146,0.761266624,NA,Not Significant
7,FAM87B,0,NA,NA,NA,NA,Not Significant
8,LINC00115,30.3283117,-0.091171537,0.185124184,0.227773937,0.508718049,Not Significant
9,LINC01128,391.6540254,-0.052665542,0.117492646,0.528432472,0.780383238,Not Significant
10,LOC107984850,0.201044317,-0.001720909,0.175785129,0.79915243,NA,Not Significant
11,FAM41C,0.949110484,-0.000148512,0.175575914,0.987351477,NA,Not Significant
12,LOC124905686,6.173293172,0.01737214,0.172258633,0.664979195,NA,Not Significant
13,LINC02593,66.59764227,-0.01391963,0.165014551,0.802292218,0.922389948,Not Significant
14,LOC107985728,119.3074847,0.011854794,0.163148167,0.849802856,0.93955538,Not Significant
15,SAMD11,453.7026084,0.010491004,0.171227407,0.795120378,0.918275835,Not Significant
16,NOC2L,5752.75122,0.102490224,0.064620111,0.089373762,0.290175881,Not Significant
17,KLHL17,995.4354317,-0.222969168,0.125106003,0.023679334,0.120715645,Not Significant
18,PLEKHN1,416.2272429,-0.177822874,0.162072778,0.09505047,0.301497259,Not Significant
19,PERM1,2.45307562,-0.01316279,0.17503061,0.579574966,NA,Not Significant
20,HES4,720.4746074,-0.239028534,0.212162237,0.048411686,0.198201645,Not Significant
21,ISG15,3037.618577,-0.000223182,0.171700092,0.989712627,0.995612965,Not Significant
22,AGRN,29121.85677,0.006772516,0.097409719,0.930458428,0.973280741,Not Significant
23,LOC100288175,113.3923164,-0.083798306,0.14064479,0.36315709,0.65438114,Not Significant
24,LOC105378948,23.06924673,-0.08897064,0.186751625,0.220803305,0.499901812,Not Significant
25,RNF223,1.035478114,0.000294015,0.175156763,0.931759896,NA,Not Significant
26,C1orf159,705.741163,-0.110793308,0.090634381,0.163325259,0.421353985,Not Significant
27,LOC124903820,5.341551086,-0.030780132,0.177732212,0.219397557,NA,Not Significant
28,LINC01342,0.745114512,-0.003069396,0.175451035,0.803783457,NA,Not Significant
29,LOC124903818,103.1423163,-0.232135508,0.242839107,0.052180223,0.207261563,Not Significant
30,MIR200B,0,NA,NA,NA,NA,Not Significant
31,MIR200A,0,NA,NA,NA,NA,Not Significant
32,MIR429,0,NA,NA,NA,NA,Not Significant
33,TTLL10-AS1,0.057957617,0.002179439,0.175776013,0.796839196,NA,Not Significant
34,TTLL10,0.364753474,0.002068268,0.175563494,0.786407472,NA,Not Significant
35,TNFRSF18,0.057957617,0.002179439,0.175776013,0.796839196,NA,Not Significant
36,TNFRSF4,0.47327042,-0.007411025,0.175924133,0.470996486,NA,Not Significant
37,SDF4,6762.028359,0.063348095,0.066622063,0.318974084,0.614892436,Not Significant
38,B3GALT6,1517.874582,0.036032682,0.149777454,0.6629825,0.856766579,Not Significant
39,C1QTNF12,19.36963519,-0.009833354,0.162717192,0.87201224,NA,Not Significant
40,UBE2J2,2891.864579,-0.044602427,0.08802291,0.556397165,0.797243568,Not Significant
41,LINC01786,74.23667161,-0.055552594,0.153243726,0.510167489,0.767627027,Not Significant
