"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","Regulation"
"1","LOC127239154",0.928343151623655,0.00287125003188685,0.163607517551573,0.856622337541182,NA,"Not Significant"
"2","LOC124905685",0.89834747476372,0.00584638880210624,0.163879889079848,0.709028160699838,NA,"Not Significant"
"3","LOC101928626",0,NA,NA,NA,NA,"Not Significant"
"4","OR4F16",0,NA,NA,NA,NA,"Not Significant"
"5","LOC100288069",106.790866563423,-0.111099013605113,0.169241655956753,0.200323973787081,0.50212021712453,"Not Significant"
"6","LINC01409",6.14174351918265,-0.0411294008637836,0.168008293363554,0.230564772775043,NA,"Not Significant"
"7","FAM87B",0,NA,NA,NA,NA,"Not Significant"
"8","LINC00115",30.3283116970557,-0.073294909859746,0.168593770245658,0.272059371565133,0.582299833004783,"Not Significant"
"9","LINC01128",391.654025362049,-0.0470062669438072,0.113833236758189,0.55341571384546,0.807877959494863,"Not Significant"
"10","LOC107984850",0.201044317017713,-0.00151772901833735,0.164241070961597,0.785011557528893,NA,"Not Significant"
"11","FAM41C",0.94911048411968,-0.000399904292899312,0.164071519572579,0.985102539843909,NA,"Not Significant"
"12","LOC124905686",6.1732931715583,0.0320203938323088,0.16456976900459,0.37576656255145,NA,"Not Significant"
"13","LINC02593",66.5976422725115,-0.015661984775264,0.155716916335153,0.760831963348335,0.916519146224989,"Not Significant"
"14","LOC107985728",119.30748471758,0.0032147556730892,0.153394134788909,0.959476498178151,0.987588615752261,"Not Significant"
"15","SAMD11",453.702608447373,0.00144482121890344,0.16015450899399,0.990004147655651,0.998004985678395,"Not Significant"
"16","NOC2L",5752.7512197805,0.162188163934832,0.066060267844482,0.00768948154646133,0.0613766504632934,"Not Significant"
"17","KLHL17",995.435431733074,-0.155606892292413,0.117768780918306,0.0831650499341006,0.304884805244001,"Not Significant"
"18","PLEKHN1",416.2272428877,-0.0926046821572475,0.135304632672185,0.289766982925949,0.597747339018225,"Not Significant"
"19","PERM1",2.45307561952866,-0.00188693578124958,0.162991786431306,0.92265047335295,NA,"Not Significant"
"20","HES4",720.47460741345,-0.058997015513904,0.138223988072959,0.463966675542212,0.74942451286982,"Not Significant"
